Term,RGB,,,,
[r8 +,"rgb(230, 194, 164)",,,,
lea r9,"rgb(230, 193, 165)",,,,
+ 0x70],"rgb(229, 195, 164)",,,,
- 0x10],"rgb(229, 194, 165)",,,,
rax rcx,"rgb(228, 195, 165)",,,,
pop r13,"rgb(235, 195, 157)",,,,
rdi qword,"rgb(235, 194, 158)",,,,
cmp rdx,"rgb(235, 193, 159)",,,,
- 0x30],"rgb(235, 192, 160)",,,,
[r13 +,"rgb(235, 191, 161)",,,,
+ 0x68],"rgb(235, 190, 162)",,,,
r8 [rip,"rgb(235, 189, 163)",,,,
rdx rax,"rgb(235, 188, 164)",,,,
mov r15,"rgb(235, 187, 165)",,,,
pop r14,"rgb(234, 195, 158)",,,,
ptr [r11,"rgb(234, 194, 159)",,,,
ptr [r14,"rgb(234, 193, 160)",,,,
ptr [r8,"rgb(234, 192, 161)",,,,
[esi +,"rgb(234, 191, 162)",,,,
rbx rax,"rgb(234, 190, 163)",,,,
- 1],"rgb(234, 189, 164)",,,,
[r11 +,"rgb(234, 188, 165)",,,,
lea rbp,"rgb(233, 195, 159)",,,,
rcx rdi,"rgb(233, 194, 160)",,,,
- 0x40],"rgb(233, 193, 161)",,,,
add rdx,"rgb(233, 192, 162)",,,,
ptr [esi,"rgb(233, 191, 163)",,,,
- 0x20],"rgb(233, 190, 164)",,,,
rbx rcx,"rgb(233, 189, 165)",,,,
push r14,"rgb(232, 195, 160)",,,,
[r15 +,"rgb(232, 194, 161)",,,,
rdx r12,"rgb(232, 193, 162)",,,,
push r13,"rgb(232, 192, 163)",,,,
+ 0x78],"rgb(232, 191, 164)",,,,
- 4],"rgb(232, 190, 165)",,,,
rsp 0x30,"rgb(231, 195, 161)",,,,
mov r12d,"rgb(231, 194, 162)",,,,
rcx r13,"rgb(231, 193, 163)",,,,
add rcx,"rgb(231, 192, 164)",,,,
sub rax,"rgb(231, 191, 165)",,,,
rcx r14,"rgb(230, 195, 162)",,,,
- 0x18],"rgb(230, 194, 163)",,,,
[eax +,"rgb(230, 193, 164)",,,,
r9d r9d,"rgb(230, 192, 165)",,,,
ptr [r13,"rgb(229, 195, 163)",,,,
lea rsi,"rgb(229, 194, 164)",,,,
ptr [eax,"rgb(229, 193, 165)",,,,
rbp [rsp,"rgb(228, 195, 164)",,,,
r9 qword,"rgb(228, 194, 165)",,,,
add rbx,"rgb(227, 195, 165)",,,,
rbp rsp,"rgb(235, 195, 156)",,,,
rcx rsi,"rgb(235, 194, 157)",,,,
- 0x38],"rgb(235, 193, 158)",,,,
lea rbx,"rgb(235, 192, 159)",,,,
r12 rax,"rgb(235, 191, 160)",,,,
cmp rcx,"rgb(235, 190, 161)",,,,
rax rbx,"rgb(235, 189, 162)",,,,
[rax -,"rgb(235, 188, 163)",,,,
[rip -,"rgb(235, 187, 164)",,,,
+ 0x14],"rgb(235, 186, 165)",,,,
rax rdx,"rgb(234, 195, 157)",,,,
rbx rbx,"rgb(234, 194, 158)",,,,
rdx rdx,"rgb(234, 193, 159)",,,,
mov r10,"rgb(234, 192, 160)",,,,
[rcx -,"rgb(234, 191, 161)",,,,
test rbx,"rgb(234, 190, 162)",,,,
pop r15,"rgb(234, 189, 163)",,,,
rdx [rsp,"rgb(234, 188, 164)",,,,
ptr [r15,"rgb(234, 187, 165)",,,,
r8 rax,"rgb(233, 195, 158)",,,,
test rdx,"rgb(233, 194, 159)",,,,
xor r9d,"rgb(233, 193, 160)",,,,
0x20] rax,"rgb(233, 192, 161)",,,,
r8 rbx,"rgb(233, 191, 162)",,,,
[r9 +,"rgb(233, 190, 163)",,,,
- 0x48],"rgb(233, 189, 164)",,,,
- 0x28],"rgb(233, 188, 165)",,,,
+ 0x88],"rgb(232, 195, 159)",,,,
