Term,RGB
mov eax,"rgb(97, 200, 200)"
mov ecx,"rgb(97, 200, 199)"
mov edx,"rgb(97, 199, 200)"
dword ptr,"rgb(96, 200, 200)"
push eax,"rgb(97, 200, 198)"
push ecx,"rgb(97, 199, 199)"
push edx,"rgb(97, 198, 200)"
push dword,"rgb(96, 200, 199)"
mov edi,"rgb(96, 199, 200)"
retn,"rgb(95, 200, 200)"
push ebp,"rgb(97, 200, 197)"
mov ebp,"rgb(97, 199, 198)"
ebp esp,"rgb(97, 198, 199)"
pop ebp,"rgb(97, 197, 200)"
sub esp,"rgb(96, 200, 198)"
mov [ebp+var_4],"rgb(96, 199, 199)"
edi edi,"rgb(96, 198, 200)"
push edi,"rgb(95, 200, 199)"
jz short,"rgb(95, 199, 200)"
jnz short,"rgb(94, 200, 200)"
sub eax,"rgb(97, 200, 196)"
nop,"rgb(97, 199, 197)"
pop edi,"rgb(97, 198, 198)"
push esi,"rgb(97, 197, 199)"
sub ecx,"rgb(97, 196, 200)"
pop eax,"rgb(96, 200, 197)"
mov [ebp+var_8],"rgb(96, 199, 198)"
push 0,"rgb(96, 198, 199)"
sub edx,"rgb(96, 197, 200)"
push ebx,"rgb(95, 200, 198)"
esp 4,"rgb(95, 199, 199)"
near ptr,"rgb(95, 198, 200)"
jmp short,"rgb(94, 200, 199)"
pop ecx,"rgb(94, 199, 200)"
eax eax,"rgb(93, 200, 200)"
mov [ebp+var_C],"rgb(97, 200, 195)"
eax [ebp+var_4],"rgb(97, 199, 196)"
ecx [ebp+var_4],"rgb(97, 198, 197)"
eax 1,"rgb(97, 197, 198)"
pop edx,"rgb(97, 196, 199)"
ecx 1,"rgb(97, 195, 200)"
edx 1,"rgb(96, 200, 196)"
mov esi,"rgb(96, 199, 197)"
esp 8,"rgb(96, 198, 198)"
lea eax,"rgb(96, 197, 199)"
edx [ebp+var_4],"rgb(96, 196, 200)"
esp 0Ch,"rgb(95, 200, 197)"
mov [ebp+var_10],"rgb(95, 199, 198)"
byte ptr,"rgb(95, 198, 199)"
