Term,RGB
esp 10h,"rgb(95, 197, 200)"
call dword,"rgb(94, 200, 198)"
[ebp+var_4] eax,"rgb(94, 199, 199)"
lea ecx,"rgb(94, 198, 200)"
xor eax,"rgb(93, 200, 199)"
ecx [ebp+var_8],"rgb(93, 199, 200)"
mov ebx,"rgb(92, 200, 200)"
eax [ebp+var_8],"rgb(97, 200, 194)"
pop esi,"rgb(97, 199, 195)"
test eax,"rgb(97, 198, 196)"
[ebp+var_4] edx,"rgb(97, 197, 197)"
[ebp+var_4] ecx,"rgb(97, 196, 198)"
call eax,"rgb(97, 195, 199)"
call near,"rgb(97, 194, 200)"
short near,"rgb(96, 200, 195)"
eax offset,"rgb(96, 199, 196)"
cmp eax,"rgb(96, 198, 197)"
mov [ebp+var_14],"rgb(96, 197, 198)"
mov [ebp+var_18],"rgb(96, 196, 199)"
jbe short,"rgb(96, 195, 200)"
pop ebx,"rgb(95, 200, 196)"
edx [ebp+var_8],"rgb(95, 199, 197)"
ptr [eax],"rgb(95, 198, 198)"
word ptr,"rgb(95, 197, 199)"
xor ecx,"rgb(95, 196, 200)"
ecx [ebp+var_C],"rgb(94, 200, 197)"
eax [ebp+var_C],"rgb(94, 199, 198)"
call edi,"rgb(94, 198, 199)"
ecx ecx,"rgb(94, 197, 200)"
[ebp+var_8] edx,"rgb(93, 200, 198)"
[ebp+var_8] eax,"rgb(93, 199, 199)"
lea edx,"rgb(93, 198, 200)"
edx [ebp+var_C],"rgb(92, 200, 199)"
mov dword,"rgb(92, 199, 200)"
mov esp,"rgb(91, 200, 200)"
[ebp+var_8] ecx,"rgb(97, 200, 193)"
cmp ecx,"rgb(97, 199, 194)"
eax 0,"rgb(97, 198, 195)"
ecx 0,"rgb(97, 197, 196)"
edx [ebp+var_10],"rgb(97, 196, 197)"
[ebp+var_C] eax,"rgb(97, 195, 198)"
lea edi,"rgb(97, 194, 199)"
[ebp+var_C] ecx,"rgb(97, 193, 200)"
eax [ebp+var_10],"rgb(96, 200, 194)"
ecx [ebp+var_10],"rgb(96, 199, 195)"
lea esi,"rgb(96, 198, 196)"
ecx [ebp+var_18],"rgb(96, 197, 197)"
eax [ebp+var_14],"rgb(96, 196, 198)"
push offset,"rgb(96, 195, 199)"
[ebp+var_C] edx,"rgb(96, 194, 200)"
lea ebx,"rgb(95, 200, 195)"
edx 0,"rgb(95, 199, 196)"
[ebp+var_10] eax,"rgb(95, 198, 197)"
jb short,"rgb(95, 197, 198)"
dup(0),"rgb(95, 196, 199)"
jg short,"rgb(95, 195, 200)"
esp 20h,"rgb(94, 200, 196)"
cmp edx,"rgb(94, 199, 197)"
esp 44h,"rgb(94, 198, 198)"
esp 28h,"rgb(94, 197, 199)"
esp 2Ch,"rgb(94, 196, 200)"
esp 54h,"rgb(93, 200, 197)"
ecx [ebp+var_14],"rgb(93, 199, 198)"
esp 30h,"rgb(93, 198, 199)"
esp 40h,"rgb(93, 197, 200)"
esp 50h,"rgb(92, 200, 198)"
esp 5Ch,"rgb(92, 199, 199)"
esp 24h,"rgb(92, 198, 200)"
esp 34h,"rgb(91, 200, 199)"
esp 58h,"rgb(91, 199, 200)"
edi 0,"rgb(90, 200, 200)"
esp 38h,"rgb(97, 200, 192)"
esp 3Ch,"rgb(97, 199, 193)"
esp 60h,"rgb(97, 198, 194)"
esp 48h,"rgb(97, 197, 195)"
esp 4Ch,"rgb(97, 196, 196)"
[ebp+var_10] edx,"rgb(97, 195, 197)"
ebx 0,"rgb(97, 194, 198)"
mov [ebp+var_1C],"rgb(97, 193, 199)"
esi 0,"rgb(97, 192, 200)"
ptr [ecx],"rgb(96, 200, 193)"
[ebp+var_10] ecx,"rgb(96, 199, 194)"
popa,"rgb(96, 198, 195)"
eax esi,"rgb(96, 197, 196)"
[ebp+var_14] eax,"rgb(96, 196, 197)"
cmp esi,"rgb(96, 195, 198)"
edx [ebp+arg_0],"rgb(96, 194, 199)"
rep retn,"rgb(96, 193, 200)"
edx [ebp+var_18],"rgb(95, 200, 194)"
eax ecx,"rgb(95, 199, 195)"
eax [ebp+arg_0],"rgb(95, 198, 196)"
push es,"rgb(95, 197, 197)"
xor edx,"rgb(95, 196, 198)"
edx [ebp+var_14],"rgb(95, 195, 199)"
and eax,"rgb(95, 194, 200)"
or eax,"rgb(94, 200, 195)"
mov [ecx],"rgb(94, 199, 196)"
[ebp+var_18] ecx,"rgb(94, 198, 197)"
esi esi,"rgb(94, 197, 198)"
ecx eax,"rgb(94, 196, 199)"
[ebp+var_18] edx,"rgb(94, 195, 200)"
ecx offset,"rgb(93, 200, 196)"
dd 0,"rgb(93, 199, 197)"
xchg eax,"rgb(93, 198, 198)"
mov byte,"rgb(93, 197, 199)"
eax ebx,"rgb(93, 196, 200)"
esi eax,"rgb(92, 200, 197)"
pop dword,"rgb(92, 199, 198)"
eax edi,"rgb(92, 198, 199)"
eax [ebp+var_18],"rgb(92, 197, 200)"
edi offset,"rgb(91, 200, 198)"
ebx ebx,"rgb(91, 199, 199)"
leave,"rgb(91, 198, 200)"
ecx [ebp+arg_0],"rgb(90, 200, 199)"
dup(0CCh),"rgb(90, 199, 200)"
cmp edi,"rgb(89, 200, 200)"
esp 1Ch,"rgb(97, 200, 191)"
mov al,"rgb(97, 199, 192)"
esi offset,"rgb(97, 198, 193)"
mov [ebp+var_20],"rgb(97, 197, 194)"
edx offset,"rgb(97, 196, 195)"
edx edx,"rgb(97, 195, 196)"
inc eax,"rgb(97, 194, 197)"
jl short,"rgb(97, 193, 198)"
ebx offset,"rgb(97, 192, 199)"
xor esi,"rgb(97, 191, 200)"
xor ebx,"rgb(96, 200, 192)"
and dword,"rgb(96, 199, 193)"
retn 0,"rgb(96, 198, 194)"
[ebp+var_14] ecx,"rgb(96, 197, 195)"
cmp ebx,"rgb(96, 196, 196)"
xor edi,"rgb(96, 195, 197)"
eax edx,"rgb(96, 194, 198)"
mov [ebp+var_24],"rgb(96, 193, 199)"
edx eax,"rgb(96, 192, 200)"
and ecx,"rgb(95, 200, 193)"
push 1,"rgb(95, 199, 194)"
eax,"rgb(95, 198, 195)"
mov cl,"rgb(95, 197, 196)"
[ebp+var_14] edx,"rgb(95, 196, 197)"
eax [ebp+arg_4],"rgb(95, 195, 198)"
edi eax,"rgb(95, 194, 199)"
mov [ebp+var_28],"rgb(95, 193, 200)"
or ecx,"rgb(94, 200, 194)"
ecx esi,"rgb(94, 199, 195)"
jmp dword,"rgb(94, 198, 196)"
ecx [ebp+arg_4],"rgb(94, 197, 197)"
ecx [ebp+var_1C],"rgb(94, 196, 198)"
mov [eax],"rgb(94, 195, 199)"
ecx [ebp+var_2C],"rgb(94, 194, 200)"
mov [ebp+var_2C],"rgb(93, 200, 195)"
mov [ebp+var_40],"rgb(93, 199, 196)"
retn 4,"rgb(93, 198, 197)"
ptr [ebp-4],"rgb(93, 197, 198)"
call esi,"rgb(93, 196, 199)"
ptr [esi],"rgb(93, 195, 200)"
esi ecx,"rgb(92, 200, 196)"
mov [ebp+var_44],"rgb(92, 199, 197)"
mov [ebp+var_30],"rgb(92, 198, 198)"
mov [ebp+var_3C],"rgb(92, 197, 199)"
inc esi,"rgb(92, 196, 200)"
ebx eax,"rgb(91, 200, 197)"
ecx [eax],"rgb(91, 199, 198)"
and byte,"rgb(91, 198, 199)"
ecx,"rgb(91, 197, 200)"
[ebp+var_4] 0,"rgb(90, 200, 198)"
inc edi,"rgb(90, 199, 199)"
mov word,"rgb(90, 198, 200)"
sub esi,"rgb(89, 200, 199)"
cdq,"rgb(89, 199, 200)"
esp 14h,"rgb(88, 200, 200)"
[ebp+var_18] eax,"rgb(97, 200, 190)"
mov [ebp+var_38],"rgb(97, 199, 191)"
mov [ebp+var_34],"rgb(97, 198, 192)"
inc ecx,"rgb(97, 197, 193)"
edx,"rgb(97, 196, 194)"
cmp al,"rgb(97, 195, 195)"
sub edi,"rgb(97, 194, 196)"
ecx edx,"rgb(97, 193, 197)"
ptr [edx],"rgb(97, 192, 198)"
or byte,"rgb(97, 191, 199)"
esp 18h,"rgb(97, 190, 200)"
inc ebx,"rgb(96, 200, 191)"
edx ecx,"rgb(96, 199, 192)"
test esi,"rgb(96, 198, 193)"
[ebp+var_8] 0,"rgb(96, 197, 194)"
push [ebp+var_44],"rgb(96, 196, 195)"
sub ebx,"rgb(96, 195, 196)"
and edx,"rgb(96, 194, 197)"
push 2,"rgb(96, 193, 198)"
or edx,"rgb(96, 192, 199)"
pusha,"rgb(96, 191, 200)"
[ecx] edx,"rgb(95, 200, 192)"
sub byte,"rgb(95, 199, 193)"
offset GetModuleHandleA,"rgb(95, 198, 194)"
esi,"rgb(95, 197, 195)"
inc edx,"rgb(95, 196, 196)"
ebx,"rgb(95, 195, 197)"
sbb eax,"rgb(95, 194, 198)"
edx [ebp+arg_4],"rgb(95, 193, 199)"
ja short,"rgb(95, 192, 200)"
ecx edi,"rgb(94, 200, 193)"
or dword,"rgb(94, 199, 194)"
push 0FFFFFFF4h,"rgb(94, 198, 195)"
retn 0Ch,"rgb(94, 197, 196)"
and esi,"rgb(94, 196, 197)"
ptr [edi],"rgb(94, 195, 198)"
mov dl,"rgb(94, 194, 199)"
sub al,"rgb(94, 193, 200)"
retf,"rgb(93, 200, 194)"
eax [eax],"rgb(93, 199, 195)"
eax 0FFFFFFFFh,"rgb(93, 198, 196)"
retn 8,"rgb(93, 197, 197)"
ecx ebx,"rgb(93, 196, 198)"
dw 0,"rgb(93, 195, 199)"
eax [ebp+var_28],"rgb(93, 194, 200)"
inc ebp,"rgb(92, 200, 195)"
eax [ebp+arg_8],"rgb(92, 199, 196)"
test edi,"rgb(92, 198, 197)"
esi edi,"rgb(92, 197, 198)"
ecx [ebp+arg_8],"rgb(92, 196, 199)"
xor byte,"rgb(92, 195, 200)"
retn 10h,"rgb(91, 200, 196)"
edi,"rgb(91, 199, 197)"
and ebx,"rgb(91, 198, 198)"
test byte,"rgb(91, 197, 199)"
test al,"rgb(91, 196, 200)"
esi ebx,"rgb(90, 200, 197)"
and edi,"rgb(90, 199, 198)"
test ecx,"rgb(90, 198, 199)"
sub dword,"rgb(90, 197, 200)"
mov ah,"rgb(89, 200, 198)"
eax 2,"rgb(89, 199, 199)"
edx [ecx+18h],"rgb(89, 198, 200)"
[ebp+var_1C] 0,"rgb(88, 200, 199)"
edi ebx,"rgb(88, 199, 200)"
mov [ebp+var_54],"rgb(87, 200, 200)"
or esi,"rgb(97, 200, 189)"
eax [ebp+var_20],"rgb(97, 199, 190)"
imul eax,"rgb(97, 198, 191)"
movsd,"rgb(97, 197, 192)"
dw 6,"rgb(97, 196, 193)"
das,"rgb(97, 195, 194)"
edx ebx,"rgb(97, 194, 195)"
ptr [ebx],"rgb(97, 193, 196)"
rep jmp,"rgb(97, 192, 197)"
ecx [ebp+var_24],"rgb(97, 191, 198)"
[ebp+var_1C] eax,"rgb(97, 190, 199)"
edx [ecx],"rgb(97, 189, 200)"
edx [eax],"rgb(96, 200, 190)"
edx [ebp+var_1C],"rgb(96, 199, 191)"
[ecx] eax,"rgb(96, 198, 192)"
eax 4,"rgb(96, 197, 193)"
inc esp,"rgb(96, 196, 194)"
mov [ebp+var_48],"rgb(96, 195, 195)"
mov [ebp+var_4C],"rgb(96, 194, 196)"
call ebx,"rgb(96, 193, 197)"
[ebp+var_14] 0,"rgb(96, 192, 198)"
eax [ebp+var_1C],"rgb(96, 191, 199)"
cmp byte,"rgb(96, 190, 200)"
or ebx,"rgb(95, 200, 191)"
xor dword,"rgb(95, 199, 192)"
esp,"rgb(95, 198, 193)"
eax [ebp+var_24],"rgb(95, 197, 194)"
push 4,"rgb(95, 196, 195)"
ptr [ebp-8],"rgb(95, 195, 196)"
ecx [ebp+var_3C],"rgb(95, 194, 197)"
test ebx,"rgb(95, 193, 198)"
call sub_401772,"rgb(95, 192, 199)"
edx esi,"rgb(95, 191, 200)"
ebx ecx,"rgb(94, 200, 192)"
xor al,"rgb(94, 199, 193)"
ecx [ecx],"rgb(94, 198, 194)"
call CloseHandle,"rgb(94, 197, 195)"
call GlobalUnlock,"rgb(94, 196, 196)"
call GetDC,"rgb(94, 195, 197)"
edi ecx,"rgb(94, 194, 198)"
and al,"rgb(94, 193, 199)"
eax [ebp+var_2C],"rgb(94, 192, 200)"
ecx 4,"rgb(93, 200, 193)"
or edi,"rgb(93, 199, 194)"
edi esi,"rgb(93, 198, 195)"
[ebp+var_10] 0,"rgb(93, 197, 196)"
aaa,"rgb(93, 196, 197)"
mov [ebp-4],"rgb(93, 195, 198)"
eax [ebp+var_44],"rgb(93, 194, 199)"
edx 4,"rgb(93, 193, 200)"
[ecx] al,"rgb(92, 200, 194)"
eax [ecx],"rgb(92, 199, 195)"
[ebp+var_C] 1,"rgb(92, 198, 196)"
mov [ebp+var_50],"rgb(92, 197, 197)"
ebx esi,"rgb(92, 196, 198)"
ecx [ebp+var_40],"rgb(92, 195, 199)"
call ds:GetLastError,"rgb(92, 194, 200)"
daa,"rgb(91, 200, 195)"
edx edi,"rgb(91, 199, 196)"
eax [esi],"rgb(91, 198, 197)"
aas,"rgb(91, 197, 198)"
esi edx,"rgb(91, 196, 199)"
eax ebp,"rgb(91, 195, 200)"
ptr [ebp-0Ch],"rgb(90, 200, 196)"
call ds:GetACP,"rgb(90, 199, 197)"
jmp eax,"rgb(90, 198, 198)"
call ds:TlsGetValue,"rgb(90, 197, 199)"
al al,"rgb(90, 196, 200)"
call ds:GetModuleHandleA,"rgb(89, 200, 197)"
ebx edi,"rgb(89, 199, 198)"
push [ebp+var_1C],"rgb(89, 198, 199)"
call ds:GetDC,"rgb(89, 197, 200)"
ecx [ebp+var_30],"rgb(88, 200, 198)"
call ds:IsWindow,"rgb(88, 199, 199)"
cmp [ebp+arg_4],"rgb(88, 198, 200)"
call ds:SetLastError,"rgb(87, 200, 199)"
ptr [ebp-10h],"rgb(87, 199, 200)"
ecx [ebp+var_28],"rgb(86, 200, 200)"
ecx 2,"rgb(97, 200, 188)"
call ds:FindClose,"rgb(97, 199, 189)"
[ebp+var_8] 1,"rgb(97, 198, 190)"
mov [esi],"rgb(97, 197, 191)"
in al,"rgb(97, 196, 192)"
neg eax,"rgb(97, 195, 193)"
[ebp+var_C] 0,"rgb(97, 194, 194)"
ebx edx,"rgb(97, 193, 195)"
test edx,"rgb(97, 192, 196)"
push [ebp+var_4],"rgb(97, 191, 197)"
edi edx,"rgb(97, 190, 198)"
al ah,"rgb(97, 189, 199)"
ptr [ebp-18h],"rgb(97, 188, 200)"
ptr [ebp-1Ch],"rgb(96, 200, 189)"
sbb edx,"rgb(96, 199, 190)"
mov bl,"rgb(96, 198, 191)"
stosb,"rgb(96, 197, 192)"
shr ecx,"rgb(96, 196, 193)"
edx [ebp+var_3C],"rgb(96, 195, 194)"
sbb ecx,"rgb(96, 194, 195)"
sbb esi,"rgb(96, 193, 196)"
push 0FFFFFFFFh,"rgb(96, 192, 197)"
sbb dword,"rgb(96, 191, 198)"
push esp,"rgb(96, 190, 199)"
call ds:GetFocus,"rgb(96, 189, 200)"
js short,"rgb(95, 200, 190)"
edx [ebp+var_20],"rgb(95, 199, 191)"
ptr [ecx+8],"rgb(95, 198, 192)"
[ebp+var_3C] 0,"rgb(95, 197, 193)"
qword ptr,"rgb(95, 196, 194)"
push [ebp+var_30],"rgb(95, 195, 195)"
stosd,"rgb(95, 194, 196)"
eax [ebp-4],"rgb(95, 193, 197)"
ecx [ebp+var_20],"rgb(95, 192, 198)"
ecx 8,"rgb(95, 191, 199)"
esi 4,"rgb(95, 190, 200)"
call ds:HeapDestroy,"rgb(94, 200, 191)"
call ds:Sleep,"rgb(94, 199, 192)"
int 3,"rgb(94, 198, 193)"
mov [edi],"rgb(94, 197, 194)"
ptr [ebp-14h],"rgb(94, 196, 195)"
eax [ebp+var_34],"rgb(94, 195, 196)"
[ebp+var_1C] edx,"rgb(94, 194, 197)"
mov [ebp+var_78],"rgb(94, 193, 198)"
[eax] ecx,"rgb(94, 192, 199)"
push [ebp+var_8],"rgb(94, 191, 200)"
[eax] edx,"rgb(93, 200, 192)"
edi 4,"rgb(93, 199, 193)"
ptr [esi+4],"rgb(93, 198, 194)"
eax esp,"rgb(93, 197, 195)"
imul edx,"rgb(93, 196, 196)"
offset TlsGetValue,"rgb(93, 195, 197)"
eax [ebp+var_38],"rgb(93, 194, 198)"
offset GetACP,"rgb(93, 193, 199)"
mov [edx],"rgb(93, 192, 200)"
pop esp,"rgb(92, 200, 193)"
call ds:UnmapViewOfFile,"rgb(92, 199, 194)"
or al,"rgb(92, 198, 195)"
call ecx,"rgb(92, 197, 196)"
edi [edi],"rgb(92, 196, 197)"
ecx 20h,"rgb(92, 195, 198)"
mov [ebp+var_58],"rgb(92, 194, 199)"
edx [ebp+var_2C],"rgb(92, 193, 200)"
offset SetLastError,"rgb(91, 200, 194)"
sbb ebx,"rgb(91, 199, 195)"
edx [ebp+var_24],"rgb(91, 198, 196)"
short loc_401968,"rgb(91, 197, 197)"
offset GlobalFree,"rgb(91, 196, 198)"
offset GetDC,"rgb(91, 195, 199)"
shr eax,"rgb(91, 194, 200)"
eax [ebp+var_40],"rgb(90, 200, 195)"
offset CloseHandle,"rgb(90, 199, 196)"
icebp,"rgb(90, 198, 197)"
ecx [ebp+var_34],"rgb(90, 197, 198)"
sbb edi,"rgb(90, 196, 199)"
pop es,"rgb(90, 195, 200)"
[ebp+var_20] ecx,"rgb(89, 200, 196)"
inc dword,"rgb(89, 199, 197)"
movsb,"rgb(89, 198, 198)"
mov [ebp+var_5C],"rgb(89, 197, 199)"
ecx 40h,"rgb(89, 196, 200)"
[ebp+var_54] eax,"rgb(88, 200, 197)"
[ebp+var_34] 0,"rgb(88, 199, 198)"
ptr [eax+14h],"rgb(88, 198, 199)"
edx 10h,"rgb(88, 197, 200)"
sbb al,"rgb(87, 200, 198)"
ebx 4,"rgb(87, 199, 199)"
mov dh,"rgb(87, 198, 200)"
push 3,"rgb(86, 200, 199)"
push 8,"rgb(86, 199, 200)"
call ds:GlobalFree,"rgb(85, 200, 200)"
[eax] cl,"rgb(97, 200, 187)"
ptr [eax+10h],"rgb(97, 199, 188)"
[ebp+var_1C] ecx,"rgb(97, 198, 189)"
[ebp+var_40] 0,"rgb(97, 197, 190)"
dd 0D7h,"rgb(97, 196, 191)"
[ebp+var_20] eax,"rgb(97, 195, 192)"
eax [ebp+var_3C],"rgb(97, 194, 193)"
[ebp+var_40] ecx,"rgb(97, 193, 194)"
[ebp+var_3C] edx,"rgb(97, 192, 195)"
mov bh,"rgb(97, 191, 196)"
mov [ebp-8],"rgb(97, 190, 197)"
sub [ebp+var_18],"rgb(97, 189, 198)"
ecx 0Ch,"rgb(97, 188, 199)"
ptr [ebp-20h],"rgb(97, 187, 200)"
[ebp-4] eax,"rgb(96, 200, 188)"
ecx [ebp+var_38],"rgb(96, 199, 189)"
eax [ebp+var_30],"rgb(96, 198, 190)"
[ebp+var_24] ecx,"rgb(96, 197, 191)"
cli,"rgb(96, 196, 192)"
esp 0,"rgb(96, 195, 193)"
eax [edx+18h],"rgb(96, 194, 194)"
eax [edi],"rgb(96, 193, 195)"
edx 2,"rgb(96, 192, 196)"
ptr [eax+4],"rgb(96, 191, 197)"
ptr [ebp-28h],"rgb(96, 190, 198)"
and [ebp+var_34],"rgb(96, 189, 199)"
ptr [eax+ecx*2],"rgb(96, 188, 200)"
[ebp+var_2C] edx,"rgb(95, 200, 189)"
cl [eax],"rgb(95, 199, 190)"
edx [ecx+24h],"rgb(95, 198, 191)"
al cl,"rgb(95, 197, 192)"
[ebp+var_2C] ecx,"rgb(95, 196, 193)"
[ebp+var_28] 0,"rgb(95, 195, 194)"
sub [ebp+var_C],"rgb(95, 194, 195)"
push [ebp+var_20],"rgb(95, 193, 196)"
[eax] 0,"rgb(95, 192, 197)"
edx [ebp+var_38],"rgb(95, 191, 198)"
mov [ebp+var_60],"rgb(95, 190, 199)"
mov ch,"rgb(95, 189, 200)"
or [ebp+var_C],"rgb(94, 200, 190)"
[ebp+var_24] eax,"rgb(94, 199, 191)"
pushf,"rgb(94, 198, 192)"
[ebp+var_28] eax,"rgb(94, 197, 193)"
[ebp+var_30] 0,"rgb(94, 196, 194)"
[ebp+var_2C] eax,"rgb(94, 195, 195)"
ptr [esi+8],"rgb(94, 194, 196)"
al dx,"rgb(94, 193, 197)"
[ebp+var_20] 0,"rgb(94, 192, 198)"
pop ss,"rgb(94, 191, 199)"
eax 3,"rgb(94, 190, 200)"
std,"rgb(93, 200, 191)"
edx [eax+18h],"rgb(93, 199, 192)"
ptr [eax+1Ch],"rgb(93, 198, 193)"
[ebp+var_18] 0,"rgb(93, 197, 194)"
ptr [edx+8],"rgb(93, 196, 195)"
eax [eax+edi],"rgb(93, 195, 196)"
mov [ebp+var_68],"rgb(93, 194, 197)"
[ebp+var_24] edx,"rgb(93, 193, 198)"
scasb,"rgb(93, 192, 199)"
push cs,"rgb(93, 191, 200)"
ecx [edx],"rgb(92, 200, 192)"
push [ebp+var_18],"rgb(92, 199, 193)"
ptr [ebp-30h],"rgb(92, 198, 194)"
ptr [ebp-24h],"rgb(92, 197, 195)"
shr edx,"rgb(92, 196, 196)"
popf,"rgb(92, 195, 197)"
clc,"rgb(92, 194, 198)"
eax [ebp-8],"rgb(92, 193, 199)"
push 5,"rgb(92, 192, 200)"
push [ebp+var_2C],"rgb(91, 200, 193)"
edx [ebp+var_28],"rgb(91, 199, 194)"
ecx [ebp-4],"rgb(91, 198, 195)"
stc,"rgb(91, 197, 196)"
short loc_401D97,"rgb(91, 196, 197)"
[ebp+var_30] ecx,"rgb(91, 195, 198)"
sahf,"rgb(91, 194, 199)"
esi [esi],"rgb(91, 193, 200)"
short loc_40172F,"rgb(90, 200, 194)"
ptr [ecx+eax],"rgb(90, 199, 195)"
short loc_401C9B,"rgb(90, 198, 196)"
short loc_401971,"rgb(90, 197, 197)"
eax [ebx],"rgb(90, 196, 198)"
offset SetFocus,"rgb(90, 195, 199)"
ecx ebp,"rgb(90, 194, 200)"
call ds:ReleaseMutex,"rgb(89, 200, 195)"
ecx [edi],"rgb(89, 199, 196)"
ptr [ecx+60h],"rgb(89, 198, 197)"
[ebp+var_40] eax,"rgb(89, 197, 198)"
[ebp+var_30] eax,"rgb(89, 196, 199)"
eax 0Bh,"rgb(89, 195, 200)"
push ds,"rgb(88, 200, 196)"
ecx [eax+10h],"rgb(88, 199, 197)"
wait,"rgb(88, 198, 198)"
ptr [eax+8],"rgb(88, 197, 199)"
and [ebp+var_4],"rgb(88, 196, 200)"
add [ebp+var_4],"rgb(87, 200, 197)"
edx [edx],"rgb(87, 199, 198)"
push [ebp+var_14],"rgb(87, 198, 199)"
rep call,"rgb(87, 197, 200)"
cmpsb,"rgb(86, 200, 198)"
setalc,"rgb(86, 199, 199)"
eax 8,"rgb(86, 198, 200)"
xlat,"rgb(85, 200, 199)"
cmc,"rgb(85, 199, 200)"
push ss,"rgb(84, 200, 200)"
ecx [ebp-10h],"rgb(97, 200, 186)"
edi [eax+3Bh],"rgb(97, 199, 187)"
cwde,"rgb(97, 198, 188)"
lahf,"rgb(97, 197, 189)"
ecx 3,"rgb(97, 196, 190)"
mov [eax+4],"rgb(97, 195, 191)"
lodsb,"rgb(97, 194, 192)"
[esi] eax,"rgb(97, 193, 193)"
eax 10h,"rgb(97, 192, 194)"
cmpsd,"rgb(97, 191, 195)"
push 10h,"rgb(97, 190, 196)"
push [ebp+var_28],"rgb(97, 189, 197)"
eax [eax+28h],"rgb(97, 188, 198)"
edx [ecx+0Ch],"rgb(97, 187, 199)"
ptr [esi+0Ch],"rgb(97, 186, 200)"
mov [ebp-10h],"rgb(96, 200, 187)"
cl cl,"rgb(96, 199, 188)"
eax [esi+4],"rgb(96, 198, 189)"
lodsd,"rgb(96, 197, 190)"
eax [ebp-10h],"rgb(96, 196, 191)"
[ebp+var_14] 1,"rgb(96, 195, 192)"
add [ebp+var_8],"rgb(96, 194, 193)"
mov [ebp-1Ch],"rgb(96, 193, 194)"
call lstrlenW,"rgb(96, 192, 195)"
sub [ebp+var_8],"rgb(96, 191, 196)"
[ebp+var_38] eax,"rgb(96, 190, 197)"
[ebp+var_20] edx,"rgb(96, 189, 198)"
[ebp+arg_4] edx,"rgb(96, 188, 199)"
push [ebp+var_4C],"rgb(96, 187, 200)"
ecx [ebp+var_50],"rgb(95, 200, 188)"
eax [ebp-0Ch],"rgb(95, 199, 189)"
edx 8,"rgb(95, 198, 190)"
mov [ebp-0Ch],"rgb(95, 197, 191)"
[ebp+var_3C] eax,"rgb(95, 196, 192)"
eax [edx+0Ch],"rgb(95, 195, 193)"
ecx [eax+3Ch],"rgb(95, 194, 194)"
ptr [ebp-2Ch],"rgb(95, 193, 195)"
ptr [ecx+4],"rgb(95, 192, 196)"
mov [esi+4],"rgb(95, 191, 197)"
[ebp+arg_4] eax,"rgb(95, 190, 198)"
call sub_401570,"rgb(95, 189, 199)"
edx [ebp+arg_8],"rgb(95, 188, 200)"
add [ebp+var_18],"rgb(94, 200, 189)"
ptr [ebp-34h],"rgb(94, 199, 190)"
ptr [edx+eax*2],"rgb(94, 198, 191)"
eax [ecx+18h],"rgb(94, 197, 192)"
add [ebp+var_C],"rgb(94, 196, 193)"
eax 9,"rgb(94, 195, 194)"
call edx,"rgb(94, 194, 195)"
offset dword_401000,"rgb(94, 193, 196)"
push [ebp+var_34],"rgb(94, 192, 197)"
xor [ebp+var_24],"rgb(94, 191, 198)"
sub [ebp+var_34],"rgb(94, 190, 199)"
sub [ebp+var_4],"rgb(94, 189, 200)"
ecx [eax+0Ch],"rgb(93, 200, 190)"
[ebp+var_2C] 0,"rgb(93, 199, 191)"
