Term,RGB
mov eax,"rgb(120, 140, 120)"
mov ecx,"rgb(120, 140, 119)"
mov edx,"rgb(120, 139, 120)"
jz short,"rgb(119, 140, 120)"
push eax,"rgb(120, 140, 118)"
dword ptr,"rgb(120, 139, 119)"
jnz short,"rgb(120, 138, 120)"
eax eax,"rgb(119, 140, 119)"
jmp short,"rgb(119, 139, 120)"
push esi,"rgb(118, 140, 120)"
mov esi,"rgb(120, 140, 117)"
push ecx,"rgb(120, 139, 118)"
lea eax,"rgb(120, 138, 119)"
retn,"rgb(120, 137, 120)"
mov edi,"rgb(119, 140, 118)"
mov [ebp+var_4],"rgb(119, 139, 119)"
test eax,"rgb(119, 138, 120)"
push edi,"rgb(118, 140, 119)"
byte ptr,"rgb(118, 139, 120)"
push ebx,"rgb(117, 140, 120)"
push edx,"rgb(120, 140, 116)"
lea ecx,"rgb(120, 139, 117)"
mov ebp,"rgb(120, 138, 118)"
pop esi,"rgb(120, 137, 119)"
cmp eax,"rgb(120, 136, 120)"
push ebp,"rgb(119, 140, 117)"
pop ecx,"rgb(119, 139, 118)"
sub eax,"rgb(119, 138, 119)"
xor eax,"rgb(119, 137, 120)"
push offset,"rgb(118, 140, 118)"
ebp esp,"rgb(118, 139, 119)"
pop ebp,"rgb(118, 138, 120)"
sub ecx,"rgb(117, 140, 119)"
mov [ebp+var_8],"rgb(117, 139, 120)"
pop edi,"rgb(116, 140, 120)"
mov dword,"rgb(120, 140, 115)"
mov ebx,"rgb(120, 139, 116)"
sub edx,"rgb(120, 138, 117)"
edi edi,"rgb(120, 137, 118)"
push dword,"rgb(120, 136, 119)"
eax 1,"rgb(120, 135, 120)"
pop ebx,"rgb(119, 140, 116)"
ecx [ebp+var_4],"rgb(119, 139, 117)"
eax [ebp+var_4],"rgb(119, 138, 118)"
mov [ebp+var_C],"rgb(119, 137, 119)"
sub esp,"rgb(119, 136, 120)"
near ptr,"rgb(118, 140, 117)"
call dword,"rgb(118, 139, 118)"
ecx 1,"rgb(118, 138, 119)"
push 0,"rgb(118, 137, 120)"
edx 1,"rgb(117, 140, 118)"
word ptr,"rgb(117, 139, 119)"
eax esi,"rgb(117, 138, 120)"
mov [ebp+var_10],"rgb(116, 140, 119)"
esi esi,"rgb(116, 139, 120)"
[ebp+var_4] eax,"rgb(115, 140, 120)"
edx [ebp+var_4],"rgb(120, 140, 114)"
esi eax,"rgb(120, 139, 115)"
cmp dword,"rgb(120, 138, 116)"
lea edx,"rgb(120, 137, 117)"
cmp ecx,"rgb(120, 136, 118)"
mov byte,"rgb(120, 135, 119)"
eax [ebp+var_8],"rgb(120, 134, 120)"
ecx [ebp+var_8],"rgb(119, 140, 115)"
jbe short,"rgb(119, 139, 116)"
ptr [eax],"rgb(119, 138, 117)"
leave,"rgb(119, 137, 118)"
ecx ecx,"rgb(119, 136, 119)"
ecx eax,"rgb(119, 135, 120)"
esp 0Ch,"rgb(118, 140, 116)"
jnb short,"rgb(118, 139, 117)"
eax ebx,"rgb(118, 138, 118)"
eax edi,"rgb(118, 137, 119)"
[ebp+var_4] ecx,"rgb(118, 136, 120)"
ecx esi,"rgb(117, 140, 117)"
inc eax,"rgb(117, 139, 118)"
cmp esi,"rgb(117, 138, 119)"
eax [ebp+arg_0],"rgb(117, 137, 120)"
ebx ebx,"rgb(116, 140, 118)"
[ebp+var_4] edx,"rgb(116, 139, 119)"
eax ecx,"rgb(116, 138, 120)"
mov [ebp+var_14],"rgb(115, 140, 119)"
mov esp,"rgb(115, 139, 120)"
mov al,"rgb(114, 140, 120)"
dup(0CCh),"rgb(120, 140, 113)"
esi ecx,"rgb(120, 139, 114)"
push 1,"rgb(120, 138, 115)"
jb short,"rgb(120, 137, 116)"
retn 4,"rgb(120, 136, 117)"
mov [ebp+var_18],"rgb(120, 135, 118)"
edi eax,"rgb(120, 134, 119)"
call near,"rgb(120, 133, 120)"
