Term,RGB
edx [ebp+var_8],"rgb(119, 140, 114)"
test esi,"rgb(119, 139, 115)"
eax [ebp+var_C],"rgb(119, 138, 116)"
edx edx,"rgb(119, 137, 117)"
esp 4,"rgb(119, 136, 118)"
ecx [ebp+var_C],"rgb(119, 135, 119)"
ecx [eax],"rgb(119, 134, 120)"
esp ebp,"rgb(118, 140, 115)"
xor ecx,"rgb(118, 139, 116)"
jl short,"rgb(118, 138, 117)"
ptr [esi],"rgb(118, 137, 118)"
[ebp+var_8] eax,"rgb(118, 136, 119)"
movzx eax,"rgb(118, 135, 120)"
esp 8,"rgb(117, 140, 116)"
eax offset,"rgb(117, 139, 117)"
and eax,"rgb(117, 138, 118)"
large fs:0,"rgb(117, 137, 119)"
short near,"rgb(117, 136, 120)"
cmp edi,"rgb(116, 140, 117)"
cmp edx,"rgb(116, 139, 118)"
eax edx,"rgb(116, 138, 119)"
jle short,"rgb(116, 137, 120)"
jg short,"rgb(115, 140, 118)"
[ebp+var_8] edx,"rgb(115, 139, 119)"
lea edi,"rgb(115, 138, 120)"
mov [eax],"rgb(114, 140, 119)"
esp 10h,"rgb(114, 139, 120)"
and dword,"rgb(113, 140, 120)"
mov dword_416008,"rgb(120, 140, 112)"
xor edx,"rgb(120, 139, 113)"
call esi,"rgb(120, 138, 114)"
xor ebx,"rgb(120, 137, 115)"
or eax,"rgb(120, 136, 116)"
ebx eax,"rgb(120, 135, 117)"
edx [ebp+var_C],"rgb(120, 134, 118)"
lea esi,"rgb(120, 133, 119)"
xor esi,"rgb(120, 132, 120)"
eax [ebp+var_10],"rgb(119, 140, 113)"
test edi,"rgb(119, 139, 114)"
[ebp+var_8] ecx,"rgb(119, 138, 115)"
ecx [ebp+arg_0],"rgb(119, 137, 116)"
xor edi,"rgb(119, 136, 117)"
test ecx,"rgb(119, 135, 118)"
ecx [ebp+var_10],"rgb(119, 134, 119)"
mov cl,"rgb(119, 133, 120)"
movzx ecx,"rgb(118, 140, 114)"
cmp ebx,"rgb(118, 139, 115)"
jge short,"rgb(118, 138, 116)"
[ebp+var_C] eax,"rgb(118, 137, 117)"
mov [ebp+var_1C],"rgb(118, 136, 118)"
eax [esi],"rgb(118, 135, 119)"
retn 8,"rgb(118, 134, 120)"
test al,"rgb(117, 140, 115)"
mov large,"rgb(117, 139, 116)"
cmp byte,"rgb(117, 138, 117)"
ecx edi,"rgb(117, 137, 118)"
ptr [ecx],"rgb(117, 136, 119)"
mov [ecx],"rgb(117, 135, 120)"
edx [ebp+var_10],"rgb(116, 140, 116)"
eax [ebp+var_14],"rgb(116, 139, 117)"
eax 0FFFFFFFFh,"rgb(116, 138, 118)"
[ebp+var_C] ecx,"rgb(116, 137, 119)"
movzx edx,"rgb(116, 136, 120)"
edx eax,"rgb(115, 140, 117)"
eax,"rgb(115, 139, 118)"
ecx [ebp+var_18],"rgb(115, 138, 119)"
call edi,"rgb(115, 137, 120)"
al al,"rgb(114, 140, 118)"
edx ecx,"rgb(114, 139, 119)"
inc esi,"rgb(114, 138, 120)"
eax [ebp+arg_4],"rgb(113, 140, 119)"
edx [ebp+arg_0],"rgb(113, 139, 120)"
[ebp+var_10] eax,"rgb(112, 140, 120)"
shl eax,"rgb(120, 140, 111)"
and ecx,"rgb(120, 139, 112)"
ja short,"rgb(120, 138, 113)"
mov dl,"rgb(120, 137, 114)"
ecx edx,"rgb(120, 136, 115)"
retn 0Ch,"rgb(120, 135, 116)"
[ebp+var_C] edx,"rgb(120, 134, 117)"
cmp [ebp+var_4],"rgb(120, 133, 118)"
push [ebp+arg_0],"rgb(120, 132, 119)"
ecx [ebp+var_14],"rgb(120, 131, 120)"
ecx ebx,"rgb(119, 140, 112)"
ptr [ebp-4],"rgb(119, 139, 113)"
mov [esi],"rgb(119, 138, 114)"
esp 14h,"rgb(119, 137, 115)"
inc edi,"rgb(119, 136, 116)"
push [ebp+arg_4],"rgb(119, 135, 117)"
test byte,"rgb(119, 134, 118)"
test ebx,"rgb(119, 133, 119)"
mov [ebp+var_20],"rgb(119, 132, 120)"
shl edx,"rgb(118, 140, 113)"
edx cl,"rgb(118, 139, 114)"
[ebp+var_4] 0,"rgb(118, 138, 115)"
test edx,"rgb(118, 137, 116)"
jo short,"rgb(118, 136, 117)"
ecx 2,"rgb(118, 135, 118)"
push 0FFFFFFFFh,"rgb(118, 134, 119)"
cmp al,"rgb(118, 133, 120)"
esi ebx,"rgb(117, 140, 114)"
ecx [ebp+arg_4],"rgb(117, 139, 115)"
[ebp+var_14] eax,"rgb(117, 138, 116)"
fs:0 ecx,"rgb(117, 137, 117)"
eax 2,"rgb(117, 136, 118)"
[ebp+var_10] ecx,"rgb(117, 135, 119)"
and edx,"rgb(117, 134, 120)"
mov [edi],"rgb(116, 140, 115)"
esp 18h,"rgb(116, 139, 116)"
pop eax,"rgb(116, 138, 117)"
inc ebx,"rgb(116, 137, 118)"
eax [ecx],"rgb(116, 136, 119)"
sar eax,"rgb(116, 135, 120)"
push 2,"rgb(115, 140, 116)"
inc ecx,"rgb(115, 139, 117)"
ptr [edi],"rgb(115, 138, 118)"
shr ecx,"rgb(115, 137, 119)"
eax [ebp+arg_8],"rgb(115, 136, 120)"
[ebp+var_10] edx,"rgb(114, 140, 117)"
eax [eax],"rgb(114, 139, 118)"
retn 10h,"rgb(114, 138, 119)"
esi edi,"rgb(114, 137, 120)"
movsd,"rgb(113, 140, 118)"
call eax,"rgb(113, 139, 119)"
ptr [esi+4],"rgb(113, 138, 120)"
sar edx,"rgb(112, 140, 119)"
edx [ebp+var_18],"rgb(112, 139, 120)"
lea ebx,"rgb(111, 140, 120)"
push 4,"rgb(120, 140, 110)"
eax [ebp+var_18],"rgb(120, 139, 111)"
mov [ebp+var_24],"rgb(120, 138, 112)"
call ebx,"rgb(120, 137, 113)"
eax 4,"rgb(120, 136, 114)"
eax ebp,"rgb(120, 135, 115)"
or ecx,"rgb(120, 134, 116)"
mov word,"rgb(120, 133, 117)"
inc edx,"rgb(120, 132, 118)"
edx [ebp+var_14],"rgb(120, 131, 119)"
eax ___security_cookie,"rgb(120, 130, 120)"
edx esi,"rgb(119, 140, 111)"
push [ebp+arg_8],"rgb(119, 139, 112)"
edi ebx,"rgb(119, 138, 113)"
call @__security_check_cookie@4,"rgb(119, 137, 114)"
ecx 4,"rgb(119, 136, 115)"
sbb eax,"rgb(119, 135, 116)"
ecx,"rgb(119, 134, 117)"
eax byte,"rgb(119, 133, 118)"
eax 3,"rgb(119, 132, 119)"
edi ecx,"rgb(119, 131, 120)"
cdq,"rgb(118, 140, 112)"
ptr [ecx+8],"rgb(118, 139, 113)"
ecx offset,"rgb(118, 138, 114)"
sub esi,"rgb(118, 137, 115)"
[ebp+var_18] ecx,"rgb(118, 136, 116)"
dup(90h),"rgb(118, 135, 117)"
[eax] 0,"rgb(118, 134, 118)"
ptr [ebx],"rgb(118, 133, 119)"
mov [ebp+arg_0],"rgb(118, 132, 120)"
neg eax,"rgb(117, 140, 113)"
or dword,"rgb(117, 139, 114)"
qword ptr,"rgb(117, 138, 115)"
ptr [edx],"rgb(117, 137, 116)"
popa,"rgb(117, 136, 117)"
shl ecx,"rgb(117, 135, 118)"
[ebp+var_18] edx,"rgb(117, 134, 119)"
or edx,"rgb(117, 133, 120)"
mov [ebp+var_28],"rgb(116, 140, 114)"
test cl,"rgb(116, 139, 115)"
esi [ebp+arg_0],"rgb(116, 138, 116)"
edx ebx,"rgb(116, 137, 117)"
rep movsd,"rgb(116, 136, 118)"
eax word,"rgb(116, 135, 119)"
mov ax,"rgb(116, 134, 120)"
esi edx,"rgb(115, 140, 115)"
ebx ecx,"rgb(115, 139, 116)"
eax [edi],"rgb(115, 138, 117)"
[ecx] eax,"rgb(115, 137, 118)"
eax [esi+4],"rgb(115, 136, 119)"
edx,"rgb(115, 135, 120)"
mov [esi+8],"rgb(114, 140, 116)"
edi esi,"rgb(114, 139, 117)"
movsx eax,"rgb(114, 138, 118)"
ecx [ebp+arg_8],"rgb(114, 137, 119)"
eax 0,"rgb(114, 136, 120)"
cmp [ebp+arg_0],"rgb(113, 140, 117)"
inc dword,"rgb(113, 139, 118)"
edx [eax],"rgb(113, 138, 119)"
short $+2,"rgb(113, 137, 120)"
ptr [eax+4],"rgb(112, 140, 118)"
cmp [ebp+arg_4],"rgb(112, 139, 119)"
ecx [ebp+var_1C],"rgb(112, 138, 120)"
sub edi,"rgb(111, 140, 119)"
eax [esp+arg_0],"rgb(111, 139, 120)"
ecx 8,"rgb(110, 140, 120)"
ptr [ebp+var_4],"rgb(120, 140, 109)"
eax cl,"rgb(120, 139, 110)"
cmp [ebp+var_C],"rgb(120, 138, 111)"
edx byte,"rgb(120, 137, 112)"
esi offset,"rgb(120, 136, 113)"
edx [ebp+arg_4],"rgb(120, 135, 114)"
[esi] eax,"rgb(120, 134, 115)"
eax large,"rgb(120, 133, 116)"
mov [ebp+var_2C],"rgb(120, 132, 117)"
eax 8,"rgb(120, 131, 118)"
eax [ebp+8],"rgb(120, 130, 119)"
mov [esi+4],"rgb(120, 129, 120)"
edx [ecx],"rgb(119, 140, 110)"
cmp [ebp+var_8],"rgb(119, 139, 111)"
[eax] ecx,"rgb(119, 138, 112)"
esp 1Ch,"rgb(119, 137, 113)"
eax [ebp+var_1C],"rgb(119, 136, 114)"
[ebp+var_14] ecx,"rgb(119, 135, 115)"
eax [esi+8],"rgb(119, 134, 116)"
xchg eax,"rgb(119, 133, 117)"
esi,"rgb(119, 132, 118)"
mov [edx],"rgb(119, 131, 119)"
ebp ebp,"rgb(119, 130, 120)"
ptr [ebp+8],"rgb(118, 140, 111)"
mov [ebp+ms_exc.registration.TryLevel],"rgb(118, 139, 112)"
edx edi,"rgb(118, 138, 113)"
ecx [ebp-10h],"rgb(118, 137, 114)"
mov [ebp+var_30],"rgb(118, 136, 115)"
eax esp,"rgb(118, 135, 116)"
mov [eax+4],"rgb(118, 134, 117)"
and byte,"rgb(118, 133, 118)"
edi offset,"rgb(118, 132, 119)"
dd 0,"rgb(118, 131, 120)"
ptr [esi+8],"rgb(117, 140, 112)"
[ebp+var_8] 0,"rgb(117, 139, 113)"
ecx ebp,"rgb(117, 138, 114)"
fstp st,"rgb(117, 137, 115)"
[ebp+var_1C] eax,"rgb(117, 136, 116)"
mov cx,"rgb(117, 135, 117)"
ecx 3,"rgb(117, 134, 118)"
imul eax,"rgb(117, 133, 119)"
[esi] 0,"rgb(117, 132, 120)"
esi 4,"rgb(116, 140, 113)"
or byte,"rgb(116, 139, 114)"
sar ecx,"rgb(116, 138, 115)"
edi edx,"rgb(116, 137, 116)"
cmp word,"rgb(116, 136, 117)"
[esi] offset,"rgb(116, 135, 118)"
push es,"rgb(116, 134, 119)"
mov [esp],"rgb(116, 133, 120)"
mov bl,"rgb(115, 140, 114)"
edi,"rgb(115, 139, 115)"
ebp eax,"rgb(115, 138, 116)"
cmp ebp,"rgb(115, 137, 117)"
call ??3@YAXPAX@Z,"rgb(115, 136, 118)"
push 8,"rgb(115, 135, 119)"
[ebp+var_14] edx,"rgb(115, 134, 120)"
shr eax,"rgb(114, 140, 115)"
ecx [ebp+var_2C],"rgb(114, 139, 116)"
[ebp+var_18] eax,"rgb(114, 138, 117)"
cl cl,"rgb(114, 137, 118)"
mov [ebp+var_34],"rgb(114, 136, 119)"
push 3,"rgb(114, 135, 120)"
ebx edi,"rgb(113, 140, 116)"
mov [ebp+var_3C],"rgb(113, 139, 117)"
and esi,"rgb(113, 138, 118)"
cmp [ebp+var_1C],"rgb(113, 137, 119)"
mov [ebp+var_40],"rgb(113, 136, 120)"
mov [ebp+var_44],"rgb(112, 140, 117)"
push [ebp+arg_C],"rgb(112, 139, 118)"
mov [ebp+arg_4],"rgb(112, 138, 119)"
ecx [esi],"rgb(112, 137, 120)"
ptr [esi+0Ch],"rgb(111, 140, 118)"
cmp cl,"rgb(111, 139, 119)"
[ecx] edx,"rgb(111, 138, 120)"
eax [ebx],"rgb(110, 140, 119)"
eax [ebp+arg_C],"rgb(110, 139, 120)"
cmp [ebp+arg_8],"rgb(109, 140, 120)"
ecx byte,"rgb(120, 140, 108)"
stosd,"rgb(120, 139, 109)"
mov [ebp+var_38],"rgb(120, 138, 110)"
al [esi],"rgb(120, 137, 111)"
dd offset,"rgb(120, 136, 112)"
eax [ebp+var_20],"rgb(120, 135, 113)"
test dl,"rgb(120, 134, 114)"
esp 20h,"rgb(120, 133, 115)"
sub ebx,"rgb(120, 132, 116)"
ptr [eax+8],"rgb(120, 131, 117)"
esi [ebp+arg_4],"rgb(120, 130, 118)"
nop,"rgb(120, 129, 119)"
push 0Ch,"rgb(120, 128, 120)"
shr edx,"rgb(119, 140, 109)"
edx 4,"rgb(119, 139, 110)"
ecx 0,"rgb(119, 138, 111)"
ebx,"rgb(119, 137, 112)"
ebx esi,"rgb(119, 136, 113)"
ptr [ebp+0Ch],"rgb(119, 135, 114)"
mov [ebx],"rgb(119, 134, 115)"
ebx edx,"rgb(119, 133, 116)"
inc ebp,"rgb(119, 132, 117)"
mov [ebp-4],"rgb(119, 131, 118)"
edi [ebp+arg_0],"rgb(119, 130, 119)"
[ebp+var_4] 1,"rgb(119, 129, 120)"
push [ebp+var_4],"rgb(118, 140, 110)"
ecx word,"rgb(118, 139, 111)"
[eax] edx,"rgb(118, 138, 112)"
dl [ebx],"rgb(118, 137, 113)"
ecx [esi+4],"rgb(118, 136, 114)"
esp 2Ch,"rgb(118, 135, 115)"
imul ecx,"rgb(118, 134, 116)"
eax 20h,"rgb(118, 133, 117)"
eax 10h,"rgb(118, 132, 118)"
or esi,"rgb(118, 131, 119)"
ptr [ecx+4],"rgb(118, 130, 120)"
eax [esi+0Ch],"rgb(117, 140, 111)"
test ah,"rgb(117, 139, 112)"
ebx [ebp+arg_0],"rgb(117, 138, 113)"
ptr [ecx+eax*4],"rgb(117, 137, 114)"
rep stosd,"rgb(117, 136, 115)"
lea ebp,"rgb(117, 135, 116)"
esi 1,"rgb(117, 134, 117)"
cmp [ebp+var_14],"rgb(117, 133, 118)"
lea esp,"rgb(117, 132, 119)"
ecx [ecx],"rgb(117, 131, 120)"
edx word,"rgb(116, 140, 112)"
push 10h,"rgb(116, 139, 113)"
edi 1,"rgb(116, 138, 114)"
eax [ebp-10h],"rgb(116, 137, 115)"
test bl,"rgb(116, 136, 116)"
eax [ebp+var_28],"rgb(116, 135, 117)"
cmp [ebp+var_20],"rgb(116, 134, 118)"
[ebp+arg_0] 0,"rgb(116, 133, 119)"
test ebp,"rgb(116, 132, 120)"
fs:0 eax,"rgb(115, 140, 113)"
mov [eax+8],"rgb(115, 139, 114)"
ecx [eax+4],"rgb(115, 138, 115)"
and al,"rgb(115, 137, 116)"
and edi,"rgb(115, 136, 117)"
cmp ax,"rgb(115, 135, 118)"
and [ebp+var_4],"rgb(115, 134, 119)"
edx 2,"rgb(115, 133, 120)"
jmp dword,"rgb(114, 140, 114)"
call edx,"rgb(114, 139, 115)"
eax [eax+4],"rgb(114, 138, 116)"
eax [ebp+var_24],"rgb(114, 137, 117)"
cmp [ebp+var_18],"rgb(114, 136, 118)"
mov [ecx+4],"rgb(114, 135, 119)"
jns short,"rgb(114, 134, 120)"
[esi+8] eax,"rgb(113, 140, 115)"
cmp [ebp+var_10],"rgb(113, 139, 116)"
movzx esi,"rgb(113, 138, 117)"
mov [esi+0Ch],"rgb(113, 137, 118)"
cmp [eax],"rgb(113, 136, 119)"
pop edx,"rgb(113, 135, 120)"
ecx 0FFFFFFFFh,"rgb(112, 140, 116)"
al 1,"rgb(112, 139, 117)"
ecx [esp+arg_0],"rgb(112, 138, 118)"
cl [eax],"rgb(112, 137, 119)"
[ebp+var_1C] 0,"rgb(112, 136, 120)"
eax [edx],"rgb(111, 140, 117)"
xor al,"rgb(111, 139, 118)"
dl dl,"rgb(111, 138, 119)"
and word,"rgb(111, 137, 120)"
ecx [ebp-0Ch],"rgb(110, 140, 118)"
edx 3,"rgb(110, 139, 119)"
esi 2,"rgb(110, 138, 120)"
push [ebp+var_44],"rgb(109, 140, 119)"
call ??2@YAPAXI@Z,"rgb(109, 139, 120)"
ptr [esi+10h],"rgb(108, 140, 120)"
ptr [eax+10h],"rgb(120, 140, 107)"
edi 4,"rgb(120, 139, 108)"
[ebp+var_20] eax,"rgb(120, 138, 109)"
ecx [ebp+var_24],"rgb(120, 137, 110)"
[edi] al,"rgb(120, 136, 111)"
[esp] eax,"rgb(120, 135, 112)"
edx [ebp+var_1C],"rgb(120, 134, 113)"
ptr [ebp-10h],"rgb(120, 133, 114)"
edx [esp+arg_4],"rgb(120, 132, 115)"
js short,"rgb(120, 131, 116)"
ptr [eax+14h],"rgb(120, 130, 117)"
mov [ebp-10h],"rgb(120, 129, 118)"
[esi+4] eax,"rgb(120, 128, 119)"
ptr [eax+0Ch],"rgb(120, 127, 120)"
eax [ebp+Buffer],"rgb(119, 140, 108)"
[ebp+arg_4] 0,"rgb(119, 139, 109)"
or ebx,"rgb(119, 138, 110)"
shl esi,"rgb(119, 137, 111)"
eax [ebp+0Ch],"rgb(119, 136, 112)"
ebx cl,"rgb(119, 135, 113)"
eax [ebp+var_2C],"rgb(119, 134, 114)"
ebp,"rgb(119, 133, 115)"
shr ebx,"rgb(119, 132, 116)"
[ebp+var_C] 0,"rgb(119, 131, 117)"
[ebp-4] 0,"rgb(119, 130, 118)"
ecx [ebp+8],"rgb(119, 129, 119)"
or edi,"rgb(119, 128, 120)"
[ebp+arg_0] eax,"rgb(118, 140, 109)"
xor ebp,"rgb(118, 139, 110)"
cmp [ebp+arg_C],"rgb(118, 138, 111)"
and ebx,"rgb(118, 137, 112)"
eax dword,"rgb(118, 136, 113)"
eax 5,"rgb(118, 135, 114)"
ebx 1,"rgb(118, 134, 115)"
[eax] esi,"rgb(118, 133, 116)"
[ebp+ms_exc.registration.TryLevel] 0,"rgb(118, 132, 117)"
fnstsw ax,"rgb(118, 131, 118)"
sub [esp+arg_0],"rgb(118, 130, 119)"
neg ecx,"rgb(118, 129, 120)"
mov [ebp-1Ch],"rgb(117, 140, 110)"
push [ebp+arg_10],"rgb(117, 139, 111)"
ecx [ebp+arg_C],"rgb(117, 138, 112)"
ecx [ebp+var_20],"rgb(117, 137, 113)"
eax 1Fh,"rgb(117, 136, 114)"
[ebp+arg_8] 0,"rgb(117, 135, 115)"
or al,"rgb(117, 134, 116)"
eax 80004003h,"rgb(117, 133, 117)"
ptr [ebp+var_34],"rgb(117, 132, 118)"
cmp dl,"rgb(117, 131, 119)"
or word,"rgb(117, 130, 120)"
edx 0,"rgb(116, 140, 111)"
edi [ebp+arg_4],"rgb(116, 139, 112)"
edx offset,"rgb(116, 138, 113)"
[ebp+ms_exc.registration.TryLevel] 0FFFFFFFEh,"rgb(116, 137, 114)"
esp 28h,"rgb(116, 136, 115)"
retf,"rgb(116, 135, 116)"
[ebp+ms_exc.registration.TryLevel] 0FFFFFFFFh,"rgb(116, 134, 117)"
mov [ebx+8],"rgb(116, 133, 118)"
ecx [ebp-14h],"rgb(116, 132, 119)"
cl byte,"rgb(116, 131, 120)"
[eax+4] ecx,"rgb(115, 140, 112)"
[ebp+var_14] 0,"rgb(115, 139, 113)"
push [ebp+uExitCode],"rgb(115, 138, 114)"
push 0Ah,"rgb(115, 137, 115)"
cld,"rgb(115, 136, 116)"
ptr [eax+18h],"rgb(115, 135, 117)"
imul edx,"rgb(115, 134, 118)"
esp 24h,"rgb(115, 133, 119)"
mov [ebp+var_54],"rgb(115, 132, 120)"
fxch st(1),"rgb(114, 140, 113)"
ecx [esi+8],"rgb(114, 139, 114)"
ptr [ebp+var_C],"rgb(114, 138, 115)"
mov [ebp+var_48],"rgb(114, 137, 116)"
sub byte,"rgb(114, 136, 117)"
mov dx,"rgb(114, 135, 118)"
edx [esi],"rgb(114, 134, 119)"
and [ebp+ms_exc.registration.TryLevel],"rgb(114, 133, 120)"
ecx esp,"rgb(113, 140, 114)"
edx [ebp+arg_8],"rgb(113, 139, 115)"
fs:0 esp,"rgb(113, 138, 116)"
cmp bl,"rgb(113, 137, 117)"
movzx ebx,"rgb(113, 136, 118)"
ptr [ebp-14h],"rgb(113, 135, 119)"
push [ebp+var_8],"rgb(113, 134, 120)"
ptr [ebp-1Ch],"rgb(112, 140, 115)"
or [ebp+ms_exc.registration.TryLevel],"rgb(112, 139, 116)"
rep movsb,"rgb(112, 138, 117)"
ptr [ebp+10h],"rgb(112, 137, 118)"
retn 14h,"rgb(112, 136, 119)"
[ebp+var_10] 0,"rgb(112, 135, 120)"
ebx offset,"rgb(111, 140, 116)"
mov [ecx+8],"rgb(111, 139, 117)"
mov [ebp+var_4C],"rgb(111, 138, 118)"
st(1) st,"rgb(111, 137, 119)"
xor byte,"rgb(111, 136, 120)"
eax [esi+10h],"rgb(110, 140, 117)"
eax [ebp+var_9],"rgb(110, 139, 118)"
[ebp-4] 0FFFFFFFFh,"rgb(110, 138, 119)"
[ecx] al,"rgb(110, 137, 120)"
[ebp+var_4] ebx,"rgb(109, 140, 118)"
call ebp,"rgb(109, 139, 119)"
ptr [esi+14h],"rgb(109, 138, 120)"
esi [esp+4+arg_0],"rgb(108, 140, 119)"
eax [ebp-14h],"rgb(108, 139, 120)"
[edi] eax,"rgb(107, 140, 120)"
ecx 0Ch,"rgb(120, 140, 106)"
[eax] edi,"rgb(120, 139, 107)"
esi 8,"rgb(120, 138, 108)"
setnz al,"rgb(120, 137, 109)"
jmp __CxxFrameHandler,"rgb(120, 136, 110)"
eax [ebx+4],"rgb(120, 135, 111)"
push 5,"rgb(120, 134, 112)"
edx [ecx+18h],"rgb(120, 133, 113)"
[eax] ebx,"rgb(120, 132, 114)"
eax [edx+0Ch],"rgb(120, 131, 115)"
fld dword,"rgb(120, 130, 116)"
ecx 20h,"rgb(120, 129, 117)"
sbb edx,"rgb(120, 128, 118)"
dd 0FFFFFFFFh,"rgb(120, 127, 119)"
ptr [esi+18h],"rgb(120, 126, 120)"
eax [ebp+arg_10],"rgb(119, 140, 107)"
call __SEH_prolog4,"rgb(119, 139, 108)"
shl edi,"rgb(119, 138, 109)"
push 14h,"rgb(119, 137, 110)"
[edi] 0,"rgb(119, 136, 111)"
push [ebp+var_1C],"rgb(119, 135, 112)"
edi 2,"rgb(119, 134, 113)"
ecx [ebp+var_28],"rgb(119, 133, 114)"
ecx [ebp+var_30],"rgb(119, 132, 115)"
fstp dword,"rgb(119, 131, 116)"
mov [esp+3Ch+var_3C],"rgb(119, 130, 117)"
sub al,"rgb(119, 129, 118)"
[eax] cl,"rgb(119, 128, 119)"
dup(0),"rgb(119, 127, 120)"
edx 10h,"rgb(118, 140, 108)"
ecx [eax+8],"rgb(118, 139, 109)"
call __SEH_epilog4,"rgb(118, 138, 110)"
edi cl,"rgb(118, 137, 111)"
ptr [ebp-8],"rgb(118, 136, 112)"
push hHeap,"rgb(118, 135, 113)"
esi cl,"rgb(118, 134, 114)"
al [esi+1],"rgb(118, 133, 115)"
mov [esp+3Ch+var_38],"rgb(118, 132, 116)"
push 20h,"rgb(118, 131, 117)"
mov [ebp+var_50],"rgb(118, 130, 118)"
eax [eax+0Ch],"rgb(118, 129, 119)"
[ebp+arg_4] eax,"rgb(118, 128, 120)"
ecx [ebp+var_3C],"rgb(117, 140, 109)"
ecx [esi+0Ch],"rgb(117, 139, 110)"
eax [ebp+var_44],"rgb(117, 138, 111)"
mov [esi+10h],"rgb(117, 137, 112)"
call ds:GetLastError,"rgb(117, 136, 113)"
ptr [ebp-18h],"rgb(117, 135, 114)"
eax [ebx+8],"rgb(117, 134, 115)"
eax 30h,"rgb(117, 133, 116)"
ebx [ebp+arg_4],"rgb(117, 132, 117)"
eax [edi+4],"rgb(117, 131, 118)"
[esi+0Ch] eax,"rgb(117, 130, 119)"
edx 8,"rgb(117, 129, 120)"
std,"rgb(116, 140, 110)"
